year,co2 global mean(ppm),co2 uncertainty(ppm)
1984,344.3,0.1
1985,345.7,0.1
1986,347.2,0.1
1987,349.0,0.1
1988,351.4,0.1
1989,353.0,0.1
1990,354.2,0.1
1991,355.5,0.1
1992,356.2,0.1
1993,357.0,0.1
1994,358.5,0.1
1995,360.4,0.1
1996,362.1,0.1
1997,363.3,0.1
1998,366.0,0.1
1999,368.0,0.1
2000,369.5,0.2
2001,371.0,0.1
2002,372.9,0.1
2003,375.3,0.1
2004,377.1,0.1
2005,379.2,0.1
2006,381.3,0.1
2007,383.1,0.1
2008,385.2,0.1
2009,386.7,0.1
2010,388.9,0.1
2011,390.9,0.1
2012,393.1,0.2
2013,395.7,0.1
2014,397.7,0.1
2015,400.1,0.1
2016,403.3,0.1
2017,405.5,0.1
2018,407.8,0.1
